500,150
1000,170
1500,378
2000,673
2500,1040
3000,1506
3500,2044
4000,3259
4500,3366
5000,4120
5500,5557
6000,6262
6500,6985
7000,8744
7500,9953
8000,11251
8500,12711
9000,13987
9500,15589
10000,17283
10500,19009
11000,20892
11500,22814
12000,25248
12500,27324
13000,30117
13500,32224
14000,34004
14500,36977
15000,39432
15500,41951
16000,44971
16500,47408
17000,50902
17500,53855
18000,56649
18500,59578
19000,63433
19500,66774
20000,69811
20500,73896
21000,77426
21500,81375
22000,85305
22500,89335
23000,93155
23500,97725
24000,101623
24500,105393
25000,109501
25500,114463
26000,119627
26500,123957
27000,128970
27500,133362
28000,138131
28500,143335
29000,148122
29500,153361
30000,158903
30500,164072
31000,169705
31500,174819
32000,180559
32500,186350
33000,192619
33500,197951
34000,203914
34500,209778
35000,215960
