500,11
1000,44
1500,107
2000,239
2500,369
3000,602
3500,1015
4000,1592
4500,1998
5000,2537
5500,3245
6000,4315
6500,6061
7000,7445
7500,9644
8000,12382
8500,13770
9000,15172
9500,16947
10000,18828
10500,21664
11000,24991
11500,29259
12000,34112
12500,40202
13000,44332
13500,51483
14000,58825
14500,67596
15000,77133
15500,89060
16000,101364
16500,109917
17000,113369
17500,110179
18000,123682
18500,118280
19000,129972
19500,133892
20000,144800
20500,152810
21000,172126
21500,185415
22000,198859
22500,212832
23000,228930
23500,254659
24000,273720
24500,294019
25000,311998
25500,335729
26000,362238
26500,386748
27000,420501
27500,439519
28000,473082
28500,504878
29000,547939
29500,769146
30000,812911
