500,49
1000,181
1500,401
2000,720
2500,1171
3000,1699
3500,2499
4000,2983
4500,3735
5000,4629
5500,5578
6000,6650
6500,7817
7000,9084
7500,10463
8000,11937
8500,13501
9000,15172
9500,16966
10000,18930
10500,20869
11000,22970
11500,25143
12000,27300
12500,31067
13000,32558
13500,35720
14000,38066
14500,41576
15000,44369
15500,48121
16000,52835
16500,54204
17000,57766
17500,62518
18000,69906
18500,72919
19000,75839
19500,79607
20000,83850
20500,91272
21000,94723
21500,102222
22000,107497
22500,120664
23000,119877
23500,139435
24000,142207
24500,137312
25000,144850
25500,144615
26000,172582
26500,201210
27000,219850
27500,229940
28000,205237
28500,225755
29000,203689
29500,209826
30000,210688
30500,221019
31000,230817
31500,238436
32000,249247
32500,261912
33000,271176
33500,273978
34000,295202
34500,308010
35000,315313
